id,pokeapi_id,name_ja,category_name,cost,fling_power,fling_effect_name,effect_en,effect_ja,sprite_default_url
master-ball,1,マスターボール,standard-balls,0,,,"Used in battle
:   Catches a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost.","野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/master-ball.png
ultra-ball,2,ハイパーボール,standard-balls,800,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost.","スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ultra-ball.png
great-ball,3,スーパーボール,standard-balls,600,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost.","モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/great-ball.png
poke-ball,4,モンスターボール,standard-balls,200,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-ball.png
safari-ball,5,サファリボール,standard-balls,0,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the Great Marsh or Safari Zone.","大湿原の　中だけで
使う　特別な　ボール。
迷彩柄に　なっている。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/safari-ball.png
net-ball,6,ネットボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon is Water- or Bug-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","みずタイプと　むしタイプの
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/net-ball.png
dive-ball,7,ダイブボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","水の　世界で　暮らしている
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dive-ball.png
nest-ball,8,ネストボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon’s level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon’s level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","捕まえる　野生の　ポケモンが
弱いほど　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nest-ball.png
repeat-ball,9,リピートボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon’s species is marked as caught in the trainer’s Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","捕まえたことの　ある
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repeat-ball.png
timer-ball,10,タイマーボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost.","ターン数が　かかれば　かかるほど
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/timer-ball.png
